scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count,density
4,2,RRT*,1,56.63150054072835,354.702399999951,635,1.06851887812695,0,3,319.810699998925,373.8474999991013,60,40,4,4
8,2,Brute Force,1,53.30321196762647,105.48679999919841,12721,1.0057209805212541,0,3,91.19360000113375,110.51629999928991,60,40,8,8
8,2,UCS,1,54.65685424949238,499.493799998163,2040,1.0312614009338186,0,3,334.9357000006421,539.5109999990382,60,40,8,8
8,2,GBFS,1,55.48528137423857,8.919500000047265,54,1.0468921014007277,0,3,8.81419999859645,9.46029999977327,60,40,8,8
8,2,A*,1,54.65685424949238,42.600900000252295,226,1.0312614009338186,0,3,38.74970000106259,51.60590000014054,60,40,8,8
8,2,RRT*,1,55.24047419825737,405.9037000006356,613,1.0422730980803276,0,3,395.01559999916935,437.8011999979208,60,40,8,8
12,2,Brute Force,1,55.98219218170513,108.78009999942151,12721,1.0562677770133044,0,3,85.84919999702834,140.46400000006543,60,40,12,12
12,2,UCS,1,57.14213562373095,604.0094999989378,2005,1.0781535023345463,0,3,461.12449999782257,682.7302999990934,60,40,12,12
12,2,GBFS,1,57.14213562373095,12.291399998503039,54,1.0781535023345463,0,3,7.773500001349021,12.631400000827853,60,40,12,12
12,2,A*,1,57.14213562373095,191.9051999975636,536,1.0781535023345463,0,3,167.39529999904335,192.32910000209813,60,40,12,12
12,2,RRT*,1,55.187130271100905,512.999900001887,586,1.0412666088886964,0,3,498.13060000087717,562.1609999980137,60,40,12,12
16,2,Brute Force,1,55.98219218170513,80.43980000002193,12721,1.0562677770133044,0,3,78.46770000105607,84.76949999749195,60,40,16,16
16,2,UCS,1,57.14213562373095,722.5177000000258,1940,1.0781535023345463,0,3,690.0210000021616,820.7145999986096,60,40,16,16
16,2,GBFS,1,57.14213562373095,17.27039999968838,54,1.0781535023345463,0,3,16.81530000132625,17.317700003331993,60,40,16,16
16,2,A*,1,57.14213562373095,160.10720000122092,527,1.0781535023345463,0,3,148.84560000064084,207.7078000002075,60,40,16,16
16,2,RRT*,1,55.187130271100905,656.7911000020104,571,1.0412666088886964,0,3,615.4578000023321,724.7541999968234,60,40,16,16
20,2,Brute Force,0,nan,108.65980000016862,12721,nan,0,3,108.5737000030349,125.24979999943753,60,40,20,20
20,2,UCS,1,57.14213562373095,908.5645000013756,1883,1.0781535023345463,0,3,786.3622000004398,984.0084999996179,60,40,20,20
20,2,GBFS,1,58.798989873223334,15.594899999996414,54,1.109414903268365,0,3,13.500299999577692,19.47459999792045,60,40,20,20
20,2,A*,1,57.14213562373095,302.50969999906374,511,1.0781535023345463,0,3,259.3912000011187,308.263299997634,60,40,20,20
20,2,RRT*,1,56.25967127916353,672.0759999989241,539,1.0615032316823307,0,3,665.18619999988,733.3409999992,60,40,20,20
24,2,Brute Force,0,nan,119.89320000066073,12721,nan,0,3,100.53619999962393,122.57110000064131,60,40,24,24
24,2,UCS,1,57.97056274847714,942.1467000029224,1816,1.0937842028014555,0,3,863.2649999999558,1029.2360999992525,60,40,24,24
24,2,GBFS,1,58.798989873223334,23.385799999232404,54,1.109414903268365,0,3,21.626599998853635,24.21659999890835,60,40,24,24
24,2,A*,1,57.97056274847714,258.3909999993921,528,1.0937842028014555,0,3,230.62999999820022,426.829899999575,60,40,24,24
24,2,RRT*,1,56.906472784906605,742.9384999995818,534,1.0737070336774832,0,3,617.6459999987856,803.8575999999011,60,40,24,24
4,3,Brute Force,1,53.0,133.91029999911552,12721,1.0,0,3,126.26970000201254,180.9787000020151,60,40,4,4
4,3,UCS,1,53.0,284.5441999998002,2001,1.0,0,3,218.79039999839733,319.25499999852036,60,40,4,4
4,3,GBFS,1,53.0,8.538699999917299,54,1.0,0,3,6.1051000011502765,12.287900000956142,60,40,4,4
4,3,A*,1,53.0,14.728100002685096,54,1.0,0,3,8.788099999947008,14.75409999693511,60,40,4,4
4,3,RRT*,1,54.2881183908436,340.34819999942556,635,1.0243041205819547,0,3,316.1782999995921,376.6851000000315,60,40,4,4
8,3,Brute Force,1,53.0,206.81840000179363,12721,1.0,0,3,134.52300000062678,260.591199999908,60,40,8,8
8,3,UCS,1,53.0,320.24900000033085,1927,1.0,0,3,319.0632999976515,506.2882999991416,60,40,8,8
8,3,GBFS,1,53.0,18.79489999919315,54,1.0,0,3,17.06429999831016,22.170300002471777,60,40,8,8
8,3,A*,1,53.0,9.598399999958929,54,1.0,0,3,7.939600000099745,11.53600000179722,60,40,8,8
8,3,RRT*,1,54.2881183908436,509.6951000014087,617,1.0243041205819547,0,3,475.68300000057206,543.5767999988457,60,40,8,8
12,3,Brute Force,1,53.285996876302285,178.18090000218945,12721,1.0053961674774017,0,3,146.66189999843482,196.49030000073253,60,40,12,12
12,3,UCS,1,54.65685424949238,656.6363999991154,1908,1.0312614009338186,0,3,603.3461000006355,697.1024000013131,60,40,12,12
12,3,GBFS,1,54.65685424949238,23.722000001725974,55,1.0312614009338186,0,3,19.736400001420407,30.423899999732384,60,40,12,12
12,3,A*,1,54.65685424949238,96.5942000002542,249,1.0312614009338186,0,3,91.54470000066794,101.91420000046492,60,40,12,12
12,3,RRT*,1,56.34478943893578,567.1548999998777,575,1.0631092346969016,0,3,381.3644000001659,607.0368000000599,60,40,12,12
16,3,Brute Force,1,53.49256508910972,188.20950000008452,12721,1.0092936809265984,0,3,146.1665000024368,191.69999999940046,60,40,16,16
16,3,UCS,1,55.48528137423857,639.1306999976223,1869,1.0468921014007277,0,3,551.7895999983011,784.9648999981582,60,40,16,16
16,3,GBFS,1,56.31370849898476,16.610699996817857,55,1.062522801867637,0,3,14.137699999992037,20.4353999979503,60,40,16,16
16,3,A*,1,55.48528137423857,173.00360000081128,389,1.0468921014007277,0,3,134.0154999998049,206.86360000036075,60,40,16,16
16,3,RRT*,1,55.52751441289866,643.2942999999796,563,1.047688951186767,0,3,629.6775000009802,769.4733000025735,60,40,16,16
20,3,Brute Force,1,53.5636553089102,133.9573000004748,12721,1.0106350058284943,0,3,119.51039999985369,155.48069999931613,60,40,20,20
20,3,UCS,1,55.48528137423857,922.4694000004092,1810,1.0468921014007277,0,3,828.0424000004132,923.0815999981132,60,40,20,20
20,3,GBFS,1,56.31370849898476,19.441599997662706,55,1.062522801867637,0,3,18.430799998895964,20.121900000958703,60,40,20,20
20,3,A*,1,55.48528137423857,149.21729999696254,389,1.0468921014007277,0,3,128.6013000026287,161.3379000009445,60,40,20,20
20,3,RRT*,1,55.52751441289866,760.9489999995276,543,1.047688951186767,0,3,725.5852999987837,828.26230000137,60,40,20,20
24,3,Brute Force,1,53.69415190384437,122.72160000065924,12721,1.0130972057329126,0,3,113.5160999983782,128.74480000027688,60,40,24,24
24,3,UCS,1,55.48528137423857,1025.1754999990226,1734,1.0468921014007277,0,3,958.0818000031286,1069.2434999982652,60,40,24,24
24,3,GBFS,1,56.31370849898476,21.17059999727644,55,1.062522801867637,0,3,20.208199999615317,22.31180000308086,60,40,24,24
24,3,A*,1,55.48528137423857,174.19589999917662,358,1.0468921014007277,0,3,150.7508000031521,206.66609999898355,60,40,24,24
24,3,RRT*,1,57.386519852303486,775.7414999978209,507,1.0827645255151601,0,3,707.5987999996869,880.2295999994385,60,40,24,24
4,4,Brute Force,1,53.0,183.84850000074948,12721,1.0,0,3,175.1743000022543,220.6396000001405,60,40,4,4
4,4,UCS,1,53.0,310.54390000281273,2028,1.0,0,3,267.74139999906765,363.55550000007497,60,40,4,4
