scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count,cell_count
60x40,5,A*,1,65.76955262170047,153.57880000010482,948,1.240934955126424,0,3,145.85710000028485,155.61669999988226,60,40,10,2400
75x50,5,UCS,1,80.66904755831214,413.67319999881147,2769,1.2176460008801833,0,3,402.5759000014659,513.51269999941,75,50,10,3750
75x50,5,GBFS,1,84.76955262170047,28.31979999973555,180,1.2795404169313278,0,3,27.527699998245225,32.572400001299684,75,50,10,3750
75x50,5,A*,1,80.66904755831214,210.6309999999212,1368,1.2176460008801833,0,3,206.2584000013885,242.41339999935008,75,50,10,3750
90x60,5,UCS,1,96.74011537017762,683.4489999982907,3980,1.2168567971091524,0,3,662.387200000012,739.0564999986964,90,60,10,5400
90x60,5,GBFS,1,102.84062043356595,37.15589999956137,238,1.2935927098561755,0,3,28.311799998846254,39.18390000035288,90,60,10,5400
90x60,5,A*,1,96.74011537017762,306.8554999990738,1992,1.2168567971091524,0,3,300.9265000000596,318.772299999182,90,60,10,5400
120x80,5,UCS,1,128.71067811865476,1060.9874999991007,7097,1.2142516803646675,0,3,1011.0924000000523,1123.4014999990904,120,80,10,9600
120x80,5,GBFS,1,138.3259018078045,54.58349999935308,365,1.3049613378094764,0,3,47.86710000007588,55.21059999955469,120,80,10,9600
120x80,5,A*,1,128.71067811865476,549.9448000009579,3462,1.2142516803646675,0,3,525.7743000001938,580.8945999997377,120,80,10,9600
30x20,6,UCS,1,37.526911934581186,59.607299999697716,434,1.4161098843238182,0,3,52.53339999944728,74.2709999994986,30,20,10,600
30x20,6,GBFS,1,39.87005768508881,6.3461999998253305,59,1.5045304786825966,0,3,6.064700000933954,6.5288000005239155,30,20,10,600
30x20,6,A*,1,37.526911934581186,43.757200000982266,285,1.4161098843238182,0,3,36.286200000176905,69.43490000048769,30,20,10,600
45x30,6,UCS,1,53.84062043356595,138.57439999992494,980,1.3544810171966277,0,3,135.8576999991783,167.9623999989417,45,30,10,1350
45x30,6,GBFS,1,59.112698372208094,12.833800001317286,86,1.4871119087347948,0,3,11.744400000679889,13.271000001623179,45,30,10,1350
45x30,6,A*,1,53.84062043356595,95.58990000004997,595,1.3544810171966277,0,3,89.52460000000428,111.4209999996092,45,30,10,1350
60x40,6,UCS,1,72.39696961967,248.315900000307,1748,1.3659805588616982,0,3,246.1432000000059,248.87689999923168,60,40,10,2400
60x40,6,GBFS,1,79.42640687119285,20.106300000406918,153,1.498611450399865,0,3,18.304299999726936,20.214099999066093,60,40,10,2400
60x40,6,A*,1,72.39696961967,163.44369999933406,1087,1.3659805588616982,0,3,149.8713000000862,176.60289999912493,60,40,10,2400
75x50,6,UCS,1,88.95331880577405,357.2309999999561,2722,1.3426916046154573,0,3,354.83340000064345,444.1337999996904,75,50,10,3750
75x50,6,GBFS,1,98.32590180780453,31.501100000241422,190,1.4841645555895022,0,3,24.598399999376852,31.82860000015353,75,50,10,3750
75x50,6,A*,1,88.95331880577405,221.91810000003898,1637,1.3426916046154573,0,3,210.81620000040857,243.5793000004196,75,50,10,3750
90x60,6,UCS,1,106.92388155425118,583.5606000000553,3916,1.3449544849591344,0,3,559.0501999995467,639.8465000002034,90,60,10,5400
90x60,6,GBFS,1,119.22539674441619,32.90749999905529,283,1.499690525086996,0,3,31.333300001278985,33.571599999049795,90,60,10,5400
90x60,6,A*,1,106.92388155425118,341.2513000002946,2376,1.3449544849591344,0,3,331.34250000148313,361.225699998613,90,60,10,5400
120x80,6,UCS,1,143.6223663640862,961.1418999993475,6990,1.354927984566851,0,3,939.1348000008293,1034.8374000004696,120,80,10,9600
120x80,6,GBFS,1,160.61017305526642,81.7165999997087,458,1.515190311842136,0,3,60.61749999935273,107.19509999944421,120,80,10,9600
120x80,6,A*,1,143.6223663640862,752.6094999993802,4318,1.354927984566851,0,3,740.0805999986915,818.413099999816,120,80,10,9600
30x20,7,UCS,1,36.21320343559643,68.30769999942277,452,1.366535978701752,0,3,66.20730000031472,71.00189999982831,30,20,10,600
30x20,7,GBFS,1,36.21320343559643,7.499899998947512,57,1.366535978701752,0,3,7.494399998904555,13.006299999688054,30,20,10,600
30x20,7,A*,1,36.21320343559643,39.18879999946512,267,1.366535978701752,0,3,38.29480000058538,47.386500000357046,30,20,10,600
45x30,7,UCS,1,54.526911934581186,159.64939999867056,1025,1.3717462121907216,0,3,159.6356999998534,161.05659999993804,45,30,10,1350
45x30,7,GBFS,1,55.112698372208094,13.793099999020342,94,1.3864829779171848,0,3,12.972299999091774,14.069900000322377,45,30,10,1350
45x30,7,A*,1,54.526911934581186,103.87929999888001,615,1.3717462121907216,0,3,102.02600000047823,108.08630000065023,45,30,10,1350
60x40,7,UCS,1,70.59797974644667,304.6045999999478,1807,1.3320373537065409,0,3,286.85009999935573,309.4500999995944,60,40,10,2400
60x40,7,GBFS,1,72.35533905932738,20.700600000054692,144,1.3651950765910825,0,3,18.87229999920237,26.379499999166,60,40,10,2400
60x40,7,A*,1,70.59797974644667,175.15330000060203,1041,1.3320373537065409,0,3,161.61680000004708,194.42960000014864,60,40,10,2400
75x50,7,UCS,1,88.32590180780453,408.9646000011271,2815,1.3332211593630872,0,3,404.49590000025637,410.9173999986524,75,50,10,3750
75x50,7,GBFS,1,91.25483399593904,28.681100000540027,201,1.3774314565424761,0,3,25.278099999923143,36.26550000080897,75,50,10,3750
75x50,7,A*,1,88.32590180780453,273.83240000017395,1631,1.3332211593630872,0,3,271.2054999992688,274.86879999923985,75,50,10,3750
90x60,7,UCS,1,104.9827560572969,521.4352000002691,4028,1.3205378120414704,0,3,505.6108000007953,560.5438000002323,90,60,10,5400
90x60,7,GBFS,1,111.32590180780453,37.76730000026873,271,1.4003258089032016,0,3,28.572900000654045,40.30609999972512,90,60,10,5400
90x60,7,A*,1,104.9827560572969,358.68289999962144,2320,1.3205378120414704,0,3,306.35240000083286,395.2915000008943,90,60,10,5400
120x80,7,UCS,1,139.78174593052023,1061.3670000002458,7191,1.3186957163256625,0,3,997.3656999991363,1066.2925999986328,120,80,10,9600
120x80,7,GBFS,1,146.46803743153546,57.14029999944614,470,1.3817739380333534,0,3,56.93310000060592,65.39949999933015,120,80,10,9600
120x80,7,A*,1,139.78174593052023,593.8302000013209,4103,1.3186957163256625,0,3,576.6872000003787,653.896399999212,120,80,10,9600
30x20,8,UCS,1,37.62741699796952,62.28510000073584,448,1.4199025282252649,0,3,61.693399999057874,64.49699999939185,30,20,10,600
30x20,8,GBFS,1,38.798989873223334,7.314599999517668,48,1.464112825404654,0,3,6.40919999932521,10.433100000227569,30,20,10,600
30x20,8,A*,1,37.62741699796952,46.09179999897606,280,1.4199025282252649,0,3,43.93320000053791,48.11110000082408,30,20,10,600
45x30,8,UCS,1,55.35533905932738,172.76229999879433,1009,1.3925871461466006,0,3,124.25719999919238,190.35559999974794,45,30,10,1350
45x30,8,GBFS,1,57.112698372208094,9.625500000765896,74,1.4367974433259898,0,3,7.846900000004098,10.491900000488386,45,30,10,1350
45x30,8,A*,1,55.35533905932738,76.50490000014543,612,1.3925871461466006,0,3,69.61259999843605,76.89290000053006,45,30,10,1350
60x40,8,UCS,1,73.66904755831214,280.6321999996726,1793,1.389982029402116,0,3,278.24560000044585,296.1182999988523,60,40,10,2400
60x40,8,GBFS,1,77.18376618407356,24.583000000347965,106,1.4562974751711992,0,3,19.91459999953804,31.146400000579888,60,40,10,2400
60x40,8,A*,1,73.66904755831214,164.6119999986695,1089,1.389982029402116,0,3,163.56890000133717,166.40170000027865,60,40,10,2400
75x50,8,UCS,1,90.5685424949238,461.2790000010136,2794,1.3670723395460196,0,3,339.3039000002318,487.5728999995772,75,50,10,3750
75x50,8,GBFS,1,96.08326112068524,15.594799999234965,137,1.4503133754065696,0,3,15.478200000870856,16.194300000279327,75,50,10,3750
75x50,8,A*,1,90.5685424949238,211.4225000004808,1660,1.3670723395460196,0,3,197.2793000004458,233.5867000001599,75,50,10,3750
90x60,8,UCS,1,108.88225099390857,685.492599999634,3990,1.36958806281646,0,3,647.4935999995068,692.4592000013945,90,60,10,5400
90x60,8,GBFS,1,116.15432893255071,28.531099998872378,177,1.4610607412899461,0,3,22.28300000024319,29.898300001150346,90,60,10,5400
90x60,8,A*,1,108.88225099390857,398.7848999986454,2414,1.36958806281646,0,3,389.6187000009377,426.9803999995929,90,60,10,5400
120x80,8,UCS,1,143.6812408671319,1037.9049000002851,7121,1.3554834044069046,0,3,981.8085000006249,1097.3088999999163,120,80,10,9600
120x80,8,GBFS,1,154.46803743153546,30.93789999911678,259,1.4572456361465609,0,3,30.512900000758236,31.48970000074769,120,80,10,9600
120x80,8,A*,1,143.6812408671319,610.2545999983704,4203,1.3554834044069046,0,3,604.8960000007355,726.700899998832,120,80,10,9600
30x20,9,UCS,1,40.21320343559643,59.563799999523326,447,1.517479374928167,0,3,53.39979999916977,66.0081000005448,30,20,10,600
30x20,9,GBFS,1,41.62741699796952,10.179699998843716,95,1.57084592445168,0,3,9.963799999241019,10.663400000339607,30,20,10,600
30x20,9,A*,1,40.21320343559643,32.637700000123004,289,1.517479374928167,0,3,31.43850000014936,36.93490000114252,30,20,10,600
45x30,9,UCS,1,55.35533905932738,138.06880000083765,1004,1.3925871461466006,0,3,136.11259999925096,143.95449999938137,45,30,10,1350
45x30,9,GBFS,1,57.698484809835,9.32239999929152,82,1.4515342090524528,0,3,8.300400000734953,9.94910000008531,45,30,10,1350
45x30,9,A*,1,55.35533905932738,80.255799999577,592,1.3925871461466006,0,3,74.59659999949508,82.96390000032261,45,30,10,1350
60x40,9,UCS,1,67.2842712474619,300.9316999996372,1789,1.2695145518389037,0,3,233.55179999998654,336.68930000021646,60,40,10,2400
60x40,9,GBFS,1,74.698484809835,7.864600000175415,81,1.4094053737704715,0,3,6.927700000233017,10.826300000189804,60,40,10,2400
60x40,9,A*,1,67.2842712474619,126.44780000118772,958,1.2695145518389037,0,3,124.24140000075568,127.2393999988708,60,40,10,2400
75x50,9,UCS,1,83.59797974644667,412.9425999999512,2778,1.2618562980595724,0,3,406.8041999998968,461.9767000003776,75,50,10,3750
75x50,9,GBFS,1,89.01219330881976,25.26450000004843,183,1.3435802763595435,0,3,23.15679999992426,26.595400000587688,75,50,10,3750
75x50,9,A*,1,83.59797974644667,246.28950000078476,1464,1.2618562980595724,0,3,206.49610000145913,262.9454000016267,75,50,10,3750
90x60,9,UCS,1,99.42640687119285,570.9318000008352,3980,1.2506466273106018,0,3,560.5077000000165,592.694400000255,90,60,10,5400
90x60,9,GBFS,1,110.84062043356595,17.155800000182353,128,1.3942216406737855,0,3,15.213399999993271,19.30719999836583,90,60,10,5400
90x60,9,A*,1,99.42640687119285,276.55109999977867,2067,1.2506466273106018,0,3,274.0697999997792,309.54879999990226,90,60,10,5400
120x80,9,UCS,1,132.5685424949238,988.7816999998904,7088,1.2506466273106018,0,3,949.8339999991003,1053.6338000001706,120,80,10,9600
120x80,9,GBFS,1,147.1543289325507,20.489299999098876,177,1.3882483861561385,0,3,18.549000000348315,26.90009999969334,120,80,10,9600
120x80,9,A*,1,132.5685424949238,588.9866999987134,3612,1.2506466273106018,0,3,544.2373000005318,610.6493999996019,120,80,10,9600
