scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count
Padat,0,A*,1,55.48528137423857,112.38609999782057,318,1.0468921014007277,0,3,104.6530999992683,120.72609999813722,60,40,21
Padat,0,RRT*,1,57.479077293058694,1247.4865000003774,749,1.084510892321862,0,3,1015.8985000016401,1310.147499996674,60,40,21
Padat,1,Brute Force,1,71.65034929028982,160.90299999996205,12721,1.351893382835657,1,3,136.86580000285176,185.2487000032852,60,40,21
Padat,1,UCS,1,57.14213562373095,779.9424000004365,1713,1.0781535023345463,1,3,678.3362999995006,836.8470999994315,60,40,21
Padat,1,GBFS,1,58.798989873223334,27.71750000101747,54,1.109414903268365,1,3,21.174299999984214,43.21619999973336,60,40,21
Padat,1,A*,1,57.14213562373095,184.768900002382,357,1.0781535023345463,1,3,166.3031999996747,186.5990000005695,60,40,21
Padat,1,RRT*,1,57.951661102529506,1456.411899998784,777,1.093427567972255,1,3,1381.8275999983598,1579.0804999996908,60,40,21
Padat,2,Brute Force,0,nan,159.0792999995756,12721,nan,0,3,138.25679999717977,181.66090000158874,60,40,20
Padat,2,UCS,1,57.97056274847714,830.8097999979509,1816,1.0937842028014555,0,3,629.325300000346,969.70710000096,60,40,20
Padat,2,GBFS,1,59.14213562373095,20.607300000847317,62,1.11588935139115,0,3,18.61339999959455,24.725200000830228,60,40,20
Padat,2,A*,1,57.97056274847714,241.44330000126502,422,1.0937842028014555,0,3,229.38720000092871,308.97149999873363,60,40,20
Padat,2,RRT*,1,63.33748888401776,1342.5119999992603,789,1.1950469600758067,0,3,1306.0432999991463,1351.0298000001058,60,40,20
Padat,3,Brute Force,0,nan,100.04539999863482,12721,nan,0,3,98.97909999926924,132.27499999993597,60,40,21
Padat,3,UCS,1,57.97056274847714,1294.381900002918,1766,1.0937842028014555,0,3,591.4835000003222,1415.3675000015937,60,40,21
Padat,3,GBFS,1,58.798989873223334,32.156199999008095,56,1.109414903268365,0,3,28.572100000019418,48.27409999779775,60,40,21
Padat,3,A*,1,57.97056274847714,254.64410000131465,397,1.0937842028014555,0,3,219.89039999971283,266.42940000238013,60,40,21
Padat,3,RRT*,1,57.32982558919441,1192.2137000001385,802,1.0816948224376304,0,3,802.768699999433,1364.0670999993745,60,40,21
Padat,4,Brute Force,1,86.53071440452217,76.63110000066808,12721,1.6326549887645694,0,3,76.23830000011367,79.07580000028247,60,40,21
Padat,4,UCS,1,58.798989873223334,512.1058000004268,1720,1.109414903268365,0,3,506.3589999990654,605.5642999999691,60,40,21
Padat,4,GBFS,1,63.04163056034262,32.87360000103945,149,1.1894647275536343,0,3,32.354300001316005,34.142500000598375,60,40,21
Padat,4,A*,1,58.798989873223334,128.55530000160797,484,1.109414903268365,0,3,117.72089999794844,158.85120000166353,60,40,21
Padat,4,RRT*,1,61.31683473593671,770.1195000008738,751,1.1569214101120133,0,3,757.5938000009046,1001.4780999990762,60,40,21
Padat,5,Brute Force,0,nan,68.41850000273553,12721,nan,0,3,61.72090000109165,72.74599999800557,60,40,21
Padat,5,UCS,1,60.45584412271571,519.0221999982896,1864,1.1406763042021832,0,3,495.0587999992422,702.376400000503,60,40,21
Padat,5,GBFS,1,63.87005768508881,10.842899999261135,58,1.2050954280205435,0,3,10.680800001864554,14.474399999016896,60,40,21
Padat,5,A*,1,60.45584412271571,181.33079999824986,699,1.1406763042021832,0,3,177.09979999926873,187.9289999997127,60,40,21
Padat,5,RRT*,1,60.00362692501551,856.8142000003718,776,1.1321439042455756,0,3,744.690300001821,862.6785000014934,60,40,21
Padat,6,Brute Force,1,53.11700644152651,74.07220000095549,12721,1.0022076687080474,0,3,71.67399999889312,75.42079999984708,60,40,21
Padat,6,UCS,1,54.65685424949238,590.5878000012308,1591,1.0312614009338186,0,3,444.18170000062673,664.4586000002164,60,40,21
Padat,6,GBFS,1,55.48528137423857,13.071499997749925,54,1.0468921014007277,0,3,12.025700001686346,17.874100001790794,60,40,21
Padat,6,A*,1,54.65685424949238,47.843800002738135,178,1.0312614009338186,0,3,47.256300000299234,51.45769999944605,60,40,21
Padat,6,RRT*,1,56.50194088470491,790.6408999988344,775,1.0660743563151869,0,3,776.6711000003852,956.1624000016309,60,40,21
Padat,7,Brute Force,0,nan,95.27320000051986,12721,nan,0,3,94.36969999660505,105.63489999913145,60,40,21
